"Notes"	"County"	"County Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2018"	"2018"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	44220	Unreliable
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	106372	Unreliable
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	81541	28.2
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2019"	"2019"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	43	80451	53.4
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2019"	"2019"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	61	77807	78.4
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2019"	"2019"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	45692	Unreliable
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	104984	Unreliable
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	21	81124	25.9
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	50	77375	64.6
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	85	78642	108.1
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2020 "	"2020"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	21	47331	44.4
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	47	105728	44.5
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	39	83742	46.6
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	74	82400	89.8
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2017"	"2017"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	49	71340	68.7
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2017"	"2017"	"55-64 years"	"55-64"	"All other drug-induced causes"	"D9"	10	71340	Unreliable
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2017"	"2017"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	49705	Unreliable
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2018"	"2018"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	90489	Unreliable
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2018"	"2018"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	34	102050	33.3
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2018"	"2018"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	45	81337	55.3
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2018"	"2018"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	74	79378	93.2
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2018"	"2018"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	56	70778	79.1
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2018"	"2018"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	49888	Unreliable
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	37	99674	37.1
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	46	80251	57.3
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2019"	"2019"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	70	77159	90.7
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2019"	"2019"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	63	70699	89.1
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2019"	"2019"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	50579	Unreliable
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2020 "	"2020"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	85342	Unreliable
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	55	96542	57.0
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	68	79335	85.7
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	94	74791	125.7
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	86	70349	122.2
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"2020 "	"2020"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	51103	Unreliable
	"Broome County, NY"	"36007"	"White"	"2106-3"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	18702	Unreliable
	"Broome County, NY"	"36007"	"White"	"2106-3"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	16985	Unreliable
	"Broome County, NY"	"36007"	"White"	"2106-3"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	21191	Unreliable
	"Broome County, NY"	"36007"	"White"	"2106-3"	"2018"	"2018"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	18561	Unreliable
	"Broome County, NY"	"36007"	"White"	"2106-3"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	18449	Unreliable
	"Broome County, NY"	"36007"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	18392	Unreliable
	"Broome County, NY"	"36007"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	17338	132.7
	"Broome County, NY"	"36007"	"White"	"2106-3"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	18209	Unreliable
	"Broome County, NY"	"36007"	"White"	"2106-3"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	24852	Unreliable
	"Cayuga County, NY"	"36011"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	8306	Unreliable
	"Cayuga County, NY"	"36011"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	8195	Unreliable
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	12815	Unreliable
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	13703	Unreliable
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	13541	Unreliable
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	12876	Unreliable
	"Chemung County, NY"	"36015"	"White"	"2106-3"	"2019"	"2019"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	9336	Unreliable
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	27043	85.0
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	26741	Unreliable
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	36284	Unreliable
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"2018"	"2018"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	25	27311	91.5
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"2018"	"2018"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	25	26671	93.7
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"2018"	"2018"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	34726	Unreliable
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	27562	Unreliable
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	26873	74.4
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"2019"	"2019"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	33182	Unreliable
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	27623	79.6
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	28	27078	103.4
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	31841	69.1
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	38642	Unreliable
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"2018"	"2018"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	15364	Unreliable
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	22190	Unreliable
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	15186	Unreliable
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	13956	Unreliable
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	15065	Unreliable
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"2020 "	"2020"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	9652	Unreliable
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2017"	"2017"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	26	89088	29.2
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	81	102385	79.1
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	45	80850	55.7
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	53	101367	52.3
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2017"	"2017"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	114421	Unreliable
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2018"	"2018"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	87221	Unreliable
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2018"	"2018"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	62	102238	60.6
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2018"	"2018"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	81783	36.7
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2018"	"2018"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	97242	23.7
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2018"	"2018"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	114042	21.0
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2019"	"2019"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	85937	Unreliable
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	44	101849	43.2
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	83391	36.0
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2019"	"2019"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	29	93124	31.1
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2019"	"2019"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	113273	Unreliable
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2020 "	"2020"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	84108	Unreliable
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	57	100854	56.5
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	53	85530	62.0
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	35	89738	39.0
	"Erie County, NY"	"36029"	"White"	"2106-3"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	111851	26.8
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	14988	Unreliable
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	11317	Unreliable
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	150366	Unreliable
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	119425	Unreliable
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	34	121218	28.0
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2017"	"2017"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	34	117830	28.9
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2017"	"2017"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	76716	Unreliable
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2018"	"2018"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	115779	Unreliable
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2018"	"2018"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	28	115287	24.3
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2018"	"2018"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	41	116443	35.2
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	146135	Unreliable
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	113865	Unreliable
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2019"	"2019"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	32	110353	29.0
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2019"	"2019"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	34	116098	29.3
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2019"	"2019"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	78740	Unreliable
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	144495	Unreliable
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	26	112410	23.1
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	49	106089	46.2
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	66	114618	57.6
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"2020 "	"2020"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	80241	Unreliable
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2017"	"2017"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	145866	Unreliable
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	58	264434	21.9
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	58	191242	30.3
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	45	142814	31.5
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2017"	"2017"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	40	130439	30.7
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2017"	"2017"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	100110	Unreliable
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2018"	"2018"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	140543	Unreliable
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2018"	"2018"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	35	257351	13.6
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2018"	"2018"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	38	189027	20.1
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2018"	"2018"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	51	139927	36.4
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2018"	"2018"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	35	126939	27.6
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2019"	"2019"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	57	254613	22.4
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2019"	"2019"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	40	189770	21.1
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2019"	"2019"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	38	138141	27.5
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2019"	"2019"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	47	124968	37.6
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2020 "	"2020"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	137104	Unreliable
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	51	252182	20.2
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	59	190296	31.0
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	70	137619	50.9
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2020 "	"2020"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	41	122567	33.5
	"Kings County, NY"	"36047"	"White"	"2106-3"	"2020 "	"2020"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	105774	Unreliable
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"2018"	"2018"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	12856	Unreliable
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"2019"	"2019"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	14641	Unreliable
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"2019"	"2019"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	13057	Unreliable
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"2020 "	"2020"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	21347	Unreliable
