"Notes"	"County"	"County Code"	"Month"	"Month Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Bronx County, NY"	"36005"	"Apr., 2019"	"2019/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	32	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"May, 2019"	"2019/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	38	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jun., 2019"	"2019/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	36	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jul., 2019"	"2019/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	34	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Aug., 2019"	"2019/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	31	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Sep., 2019"	"2019/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	27	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Oct., 2019"	"2019/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	34	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Nov., 2019"	"2019/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	36	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Dec., 2019"	"2019/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	37	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jan., 2020"	"2020/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	35	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Feb., 2020"	"2020/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	43	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Mar., 2020"	"2020/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	41	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Apr., 2020"	"2020/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	40	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"May, 2020"	"2020/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	52	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jun., 2020"	"2020/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	39	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jul., 2020"	"2020/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	67	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Aug., 2020"	"2020/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	44	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Sep., 2020"	"2020/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	45	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Oct., 2020"	"2020/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	47	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Nov., 2020"	"2020/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	48	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Dec., 2020"	"2020/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	43	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jan., 2021 "	"2021/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	80	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Feb., 2021 "	"2021/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	53	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Mar., 2021 "	"2021/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	54	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Apr., 2021 "	"2021/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	72	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"May, 2021 "	"2021/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	58	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jun., 2021 "	"2021/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	76	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Jul., 2021 "	"2021/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	58	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Aug., 2021 "	"2021/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	69	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Sep., 2021 "	"2021/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	61	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Oct., 2021 "	"2021/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	73	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Nov., 2021 "	"2021/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	75	Not Applicable	Not Applicable
	"Bronx County, NY"	"36005"	"Dec., 2021 "	"2021/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	73	Not Applicable	Not Applicable
	"Broome County, NY"	"36007"	"Mar., 2019"	"2019/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable
	"Broome County, NY"	"36007"	"Feb., 2021 "	"2021/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable
	"Broome County, NY"	"36007"	"Jul., 2021 "	"2021/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	Not Applicable	Not Applicable
	"Broome County, NY"	"36007"	"Oct., 2021 "	"2021/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	Not Applicable	Not Applicable
	"Dutchess County, NY"	"36027"	"May, 2018"	"2018/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	Not Applicable	Not Applicable
	"Dutchess County, NY"	"36027"	"Oct., 2018"	"2018/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	Not Applicable	Not Applicable
	"Dutchess County, NY"	"36027"	"Aug., 2019"	"2019/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	Not Applicable	Not Applicable
	"Dutchess County, NY"	"36027"	"Feb., 2020"	"2020/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable
	"Dutchess County, NY"	"36027"	"May, 2020"	"2020/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	Not Applicable	Not Applicable
	"Dutchess County, NY"	"36027"	"Jul., 2020"	"2020/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable
	"Dutchess County, NY"	"36027"	"Aug., 2020"	"2020/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable
	"Dutchess County, NY"	"36027"	"Oct., 2020"	"2020/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable
	"Dutchess County, NY"	"36027"	"Nov., 2020"	"2020/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable
	"Dutchess County, NY"	"36027"	"Dec., 2020"	"2020/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable
	"Dutchess County, NY"	"36027"	"Feb., 2021 "	"2021/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable
	"Dutchess County, NY"	"36027"	"May, 2021 "	"2021/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	Not Applicable	Not Applicable
	"Dutchess County, NY"	"36027"	"Aug., 2021 "	"2021/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Jan., 2018"	"2018/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Feb., 2018"	"2018/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	21	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Mar., 2018"	"2018/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Apr., 2018"	"2018/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"May, 2018"	"2018/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Jun., 2018"	"2018/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Jul., 2018"	"2018/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Aug., 2018"	"2018/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Oct., 2018"	"2018/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	26	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Nov., 2018"	"2018/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Dec., 2018"	"2018/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Jan., 2019"	"2019/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Feb., 2019"	"2019/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Apr., 2019"	"2019/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"May, 2019"	"2019/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Jun., 2019"	"2019/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Jul., 2019"	"2019/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Aug., 2019"	"2019/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Sep., 2019"	"2019/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Oct., 2019"	"2019/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Nov., 2019"	"2019/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Dec., 2019"	"2019/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Jan., 2020"	"2020/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Feb., 2020"	"2020/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	21	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Mar., 2020"	"2020/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	25	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Apr., 2020"	"2020/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"May, 2020"	"2020/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	27	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Jun., 2020"	"2020/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	27	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Jul., 2020"	"2020/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	38	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Aug., 2020"	"2020/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Sep., 2020"	"2020/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Oct., 2020"	"2020/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Nov., 2020"	"2020/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Dec., 2020"	"2020/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Jan., 2021 "	"2021/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Feb., 2021 "	"2021/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Mar., 2021 "	"2021/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	41	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Apr., 2021 "	"2021/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"May, 2021 "	"2021/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Jun., 2021 "	"2021/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Jul., 2021 "	"2021/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	21	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Aug., 2021 "	"2021/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	34	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Sep., 2021 "	"2021/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	27	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Oct., 2021 "	"2021/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Nov., 2021 "	"2021/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	26	Not Applicable	Not Applicable
	"Erie County, NY"	"36029"	"Dec., 2021 "	"2021/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	25	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Jan., 2018"	"2018/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Feb., 2018"	"2018/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	21	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Mar., 2018"	"2018/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	26	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Apr., 2018"	"2018/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"May, 2018"	"2018/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Jun., 2018"	"2018/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Jul., 2018"	"2018/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Aug., 2018"	"2018/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Sep., 2018"	"2018/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Oct., 2018"	"2018/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	34	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Nov., 2018"	"2018/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Dec., 2018"	"2018/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	25	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Jan., 2019"	"2019/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Feb., 2019"	"2019/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	34	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Mar., 2019"	"2019/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Apr., 2019"	"2019/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	29	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"May, 2019"	"2019/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Jun., 2019"	"2019/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	25	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Jul., 2019"	"2019/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	36	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Aug., 2019"	"2019/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Sep., 2019"	"2019/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Oct., 2019"	"2019/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	32	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Nov., 2019"	"2019/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Dec., 2019"	"2019/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	35	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Jan., 2020"	"2020/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	35	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Feb., 2020"	"2020/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	29	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Mar., 2020"	"2020/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	25	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Apr., 2020"	"2020/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"May, 2020"	"2020/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	47	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Jun., 2020"	"2020/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	37	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Jul., 2020"	"2020/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	45	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Aug., 2020"	"2020/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	38	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Sep., 2020"	"2020/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	37	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Oct., 2020"	"2020/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	40	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Nov., 2020"	"2020/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	43	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Dec., 2020"	"2020/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	44	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Jan., 2021 "	"2021/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	47	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Feb., 2021 "	"2021/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	42	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Mar., 2021 "	"2021/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	54	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Apr., 2021 "	"2021/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	43	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"May, 2021 "	"2021/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	49	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Jun., 2021 "	"2021/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	47	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Jul., 2021 "	"2021/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	54	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Aug., 2021 "	"2021/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	54	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Sep., 2021 "	"2021/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	58	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Oct., 2021 "	"2021/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	45	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Nov., 2021 "	"2021/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	52	Not Applicable	Not Applicable
	"Kings County, NY"	"36047"	"Dec., 2021 "	"2021/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	59	Not Applicable	Not Applicable
	"Monroe County, NY"	"36055"	"Jan., 2018"	"2018/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	Not Applicable	Not Applicable
	"Monroe County, NY"	"36055"	"Feb., 2018"	"2018/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	Not Applicable	Not Applicable
	"Monroe County, NY"	"36055"	"Mar., 2018"	"2018/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	Not Applicable	Not Applicable
	"Monroe County, NY"	"36055"	"Apr., 2018"	"2018/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable
	"Monroe County, NY"	"36055"	"May, 2018"	"2018/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	Not Applicable	Not Applicable
	"Monroe County, NY"	"36055"	"Jun., 2018"	"2018/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	Not Applicable	Not Applicable
	"Monroe County, NY"	"36055"	"Jul., 2018"	"2018/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	Not Applicable	Not Applicable
	"Monroe County, NY"	"36055"	"Aug., 2018"	"2018/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	Not Applicable	Not Applicable
	"Monroe County, NY"	"36055"	"Sep., 2018"	"2018/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	Not Applicable	Not Applicable
