"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Erie County, NY"	"36029"	"Female"	"F"	"2017"	"2017"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	51470	Unreliable
	"Erie County, NY"	"36029"	"Female"	"F"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	62411	Unreliable
	"Erie County, NY"	"36029"	"Female"	"F"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	65390	Unreliable
	"Erie County, NY"	"36029"	"Female"	"F"	"2018"	"2018"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	69412	Unreliable
	"Erie County, NY"	"36029"	"Female"	"F"	"2019"	"2019"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	65325	Unreliable
	"Erie County, NY"	"36029"	"Female"	"F"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	19	65101	Unreliable
	"Erie County, NY"	"36029"	"Female"	"F"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	54377	Unreliable
	"Erie County, NY"	"36029"	"Female"	"F"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	55958	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2017"	"2017"	"15-24 years"	"15-24"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	14	61303	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2017"	"2017"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	37	66571	55.6
	"Erie County, NY"	"36029"	"Male"	"M"	"2017"	"2017"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	26	66571	39.1
	"Erie County, NY"	"36029"	"Male"	"M"	"2017"	"2017"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	50494	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2017"	"2017"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	21	50494	41.6
	"Erie County, NY"	"36029"	"Male"	"M"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	20	58851	34.0
	"Erie County, NY"	"36029"	"Male"	"M"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	23	58851	39.1
	"Erie County, NY"	"36029"	"Male"	"M"	"2017"	"2017"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	63374	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2017"	"2017"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	63374	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	25	66407	37.6
	"Erie County, NY"	"36029"	"Male"	"M"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	22	66407	33.1
	"Erie County, NY"	"36029"	"Male"	"M"	"2018"	"2018"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	50677	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2018"	"2018"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	19	50677	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2018"	"2018"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	56651	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2018"	"2018"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15	63252	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2019"	"2019"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	66424	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2019"	"2019"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	17	66424	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2019"	"2019"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	51765	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2019"	"2019"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	51765	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	54585	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	54585	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	14	62929	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	66056	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	32	66056	48.4
	"Erie County, NY"	"36029"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	17	53121	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	30	53121	56.5
	"Erie County, NY"	"36029"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	21	52973	39.6
	"Erie County, NY"	"36029"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	52973	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	62250	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	21	62250	33.7
	"Kings County, NY"	"36047"	"Female"	"F"	"2017"	"2017"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	251728	Unreliable
	"Kings County, NY"	"36047"	"Female"	"F"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	168615	Unreliable
	"Kings County, NY"	"36047"	"Female"	"F"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	168615	Unreliable
	"Kings County, NY"	"36047"	"Female"	"F"	"2017"	"2017"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	160332	Unreliable
	"Kings County, NY"	"36047"	"Female"	"F"	"2018"	"2018"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	12	162352	Unreliable
	"Kings County, NY"	"36047"	"Female"	"F"	"2018"	"2018"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	162352	Unreliable
	"Kings County, NY"	"36047"	"Female"	"F"	"2018"	"2018"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	157496	Unreliable
	"Kings County, NY"	"36047"	"Female"	"F"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	158070	Unreliable
	"Kings County, NY"	"36047"	"Female"	"F"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	156206	Unreliable
	"Kings County, NY"	"36047"	"Female"	"F"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	240194	Unreliable
	"Kings County, NY"	"36047"	"Female"	"F"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	155215	Unreliable
	"Kings County, NY"	"36047"	"Female"	"F"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	155215	Unreliable
	"Kings County, NY"	"36047"	"Female"	"F"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	18	153589	Unreliable
	"Kings County, NY"	"36047"	"Male"	"M"	"2017"	"2017"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	42	237294	17.7
	"Kings County, NY"	"36047"	"Male"	"M"	"2017"	"2017"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	21	237294	8.8
	"Kings County, NY"	"36047"	"Male"	"M"	"2017"	"2017"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	36	176419	20.4
	"Kings County, NY"	"36047"	"Male"	"M"	"2017"	"2017"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	30	176419	17.0
	"Kings County, NY"	"36047"	"Male"	"M"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	40	146100	27.4
	"Kings County, NY"	"36047"	"Male"	"M"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	17	146100	Unreliable
	"Kings County, NY"	"36047"	"Male"	"M"	"2017"	"2017"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	46	132239	34.8
	"Kings County, NY"	"36047"	"Male"	"M"	"2017"	"2017"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	132239	Unreliable
	"Kings County, NY"	"36047"	"Male"	"M"	"2017"	"2017"	"65-74 years"	"65-74"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	87401	Unreliable
	"Kings County, NY"	"36047"	"Male"	"M"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15	230592	Unreliable
	"Kings County, NY"	"36047"	"Male"	"M"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	230592	Unreliable
	"Kings County, NY"	"36047"	"Male"	"M"	"2018"	"2018"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	24	172736	13.9
	"Kings County, NY"	"36047"	"Male"	"M"	"2018"	"2018"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	172736	Unreliable
	"Kings County, NY"	"36047"	"Male"	"M"	"2018"	"2018"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	29	140847	20.6
	"Kings County, NY"	"36047"	"Male"	"M"	"2018"	"2018"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	24	140847	17.0
