"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Broome County, NY"	"36007"	"Female"	"F"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	85462	Unreliable
	"Broome County, NY"	"36007"	"Female"	"F"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	83871	27.4
	"Broome County, NY"	"36007"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	36	83312	43.2
	"Broome County, NY"	"36007"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	82439	24.3
	"Broome County, NY"	"36007"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	28	81915	34.2
	"Broome County, NY"	"36007"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	44	81126	54.2
	"Cayuga County, NY"	"36011"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	36226	Unreliable
	"Cayuga County, NY"	"36011"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	35493	67.6
	"Chautauqua County, NY"	"36013"	"Female"	"F"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	61771	Unreliable
	"Chautauqua County, NY"	"36013"	"Female"	"F"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	61261	Unreliable
	"Chautauqua County, NY"	"36013"	"Female"	"F"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	60618	Unreliable
	"Chautauqua County, NY"	"36013"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	60066	49.9
	"Chautauqua County, NY"	"36013"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	59513	Unreliable
	"Chautauqua County, NY"	"36013"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	58927	Unreliable
	"Chautauqua County, NY"	"36013"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	31	58612	52.9
	"Chemung County, NY"	"36015"	"Female"	"F"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	38630	Unreliable
	"Chemung County, NY"	"36015"	"Female"	"F"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	38221	Unreliable
	"Chemung County, NY"	"36015"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	37333	Unreliable
	"Chemung County, NY"	"36015"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	36901	Unreliable
	"Chemung County, NY"	"36015"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	36447	Unreliable
	"Chemung County, NY"	"36015"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	36028	Unreliable
	"Columbia County, NY"	"36021"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	27565	Unreliable
	"Dutchess County, NY"	"36027"	"Female"	"F"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	123587	16.2
	"Dutchess County, NY"	"36027"	"Female"	"F"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	25	122496	20.4
	"Dutchess County, NY"	"36027"	"Female"	"F"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	122615	Unreliable
	"Dutchess County, NY"	"36027"	"Female"	"F"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	121830	24.6
	"Dutchess County, NY"	"36027"	"Male"	"M"	"2017"	"2017"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	19539	Unreliable
	"Dutchess County, NY"	"36027"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	50	120531	41.5
	"Dutchess County, NY"	"36027"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	51	119798	42.6
	"Dutchess County, NY"	"36027"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	44	119618	36.8
	"Dutchess County, NY"	"36027"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	69	118743	58.1
	"Erie County, NY"	"36029"	"Female"	"F"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	61	381998	16.0
	"Erie County, NY"	"36029"	"Female"	"F"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	46	379971	12.1
	"Erie County, NY"	"36029"	"Female"	"F"	"2018"	"2018"	"White"	"2106-3"	"All other drug-induced causes"	"D9"	10	379971	Unreliable
	"Erie County, NY"	"36029"	"Female"	"F"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	34	378847	9.0
	"Erie County, NY"	"36029"	"Female"	"F"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	72402	30.4
	"Erie County, NY"	"36029"	"Female"	"F"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	58	376378	15.4
	"Erie County, NY"	"36029"	"Male"	"M"	"2017"	"2017"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	21	62800	33.4
	"Erie County, NY"	"36029"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	169	363203	46.5
	"Erie County, NY"	"36029"	"Male"	"M"	"2018"	"2018"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	62494	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	112	360953	31.0
	"Erie County, NY"	"36029"	"Male"	"M"	"2019"	"2019"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	62512	Unreliable
	"Erie County, NY"	"36029"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	100	360065	27.8
	"Erie County, NY"	"36029"	"Male"	"M"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	42	63090	66.6
	"Erie County, NY"	"36029"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	143	357918	40.0
	"Genesee County, NY"	"36037"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	26745	Unreliable
	"Genesee County, NY"	"36037"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	26638	Unreliable
	"Genesee County, NY"	"36037"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	26503	Unreliable
	"Jefferson County, NY"	"36045"	"Female"	"F"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	48598	Unreliable
	"Jefferson County, NY"	"36045"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	27	49686	54.3
	"Kings County, NY"	"36047"	"Female"	"F"	"2017"	"2017"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	520778	4.2
	"Kings County, NY"	"36047"	"Female"	"F"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	46	675280	6.8
	"Kings County, NY"	"36047"	"Female"	"F"	"2018"	"2018"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	29	505154	5.7
	"Kings County, NY"	"36047"	"Female"	"F"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	41	662751	6.2
	"Kings County, NY"	"36047"	"Female"	"F"	"2019"	"2019"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	31	496306	6.2
	"Kings County, NY"	"36047"	"Female"	"F"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	45	661558	6.8
	"Kings County, NY"	"36047"	"Female"	"F"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	45	487978	9.2
	"Kings County, NY"	"36047"	"Female"	"F"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	43	656250	6.6
	"Kings County, NY"	"36047"	"Male"	"M"	"2017"	"2017"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	92	416977	22.1
	"Kings County, NY"	"36047"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	187	652801	28.6
	"Kings County, NY"	"36047"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"All other drug-induced causes"	"D9"	12	652801	Unreliable
	"Kings County, NY"	"36047"	"Male"	"M"	"2018"	"2018"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	68	405531	16.8
	"Kings County, NY"	"36047"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	136	639955	21.3
	"Kings County, NY"	"36047"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"All other drug-induced causes"	"D9"	11	639955	Unreliable
	"Kings County, NY"	"36047"	"Male"	"M"	"2019"	"2019"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	80	398565	20.1
	"Kings County, NY"	"36047"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	150	637049	23.5
	"Kings County, NY"	"36047"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"All other drug-induced causes"	"D9"	11	637049	Unreliable
	"Kings County, NY"	"36047"	"Male"	"M"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	139	392657	35.4
	"Kings County, NY"	"36047"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	206	631027	32.6
	"Livingston County, NY"	"36051"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	29623	Unreliable
	"Monroe County, NY"	"36055"	"Female"	"F"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	47	299969	15.7
	"Monroe County, NY"	"36055"	"Female"	"F"	"2018"	"2018"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	68126	Unreliable
	"Monroe County, NY"	"36055"	"Female"	"F"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	50	298424	16.8
	"Monroe County, NY"	"36055"	"Female"	"F"	"2019"	"2019"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	68320	Unreliable
	"Monroe County, NY"	"36055"	"Female"	"F"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	39	298281	13.1
	"Monroe County, NY"	"36055"	"Female"	"F"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	28	68918	40.6
	"Monroe County, NY"	"36055"	"Female"	"F"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	49	297138	16.5
	"Monroe County, NY"	"36055"	"Male"	"M"	"2017"	"2017"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	59948	Unreliable
	"Monroe County, NY"	"36055"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	122	284049	43.0
	"Monroe County, NY"	"36055"	"Male"	"M"	"2018"	"2018"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	59542	40.3
	"Monroe County, NY"	"36055"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	121	282535	42.8
	"Monroe County, NY"	"36055"	"Male"	"M"	"2019"	"2019"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	33	59401	55.6
	"Monroe County, NY"	"36055"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	109	282088	38.6
	"Monroe County, NY"	"36055"	"Male"	"M"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	44	59843	73.5
	"Monroe County, NY"	"36055"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	135	280573	48.1
	"Nassau County, NY"	"36059"	"Female"	"F"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	50	526433	9.5
	"Nassau County, NY"	"36059"	"Female"	"F"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	32	518999	6.2
	"Nassau County, NY"	"36059"	"Female"	"F"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	45	513887	8.8
	"Nassau County, NY"	"36059"	"Female"	"F"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	50	505234	9.9
	"Nassau County, NY"	"36059"	"Male"	"M"	"2017"	"2017"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	86118	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	144	505515	28.5
	"Nassau County, NY"	"36059"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	127	498559	25.5
	"Nassau County, NY"	"36059"	"Male"	"M"	"2019"	"2019"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	87212	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	132	495067	26.7
	"Nassau County, NY"	"36059"	"Male"	"M"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	88026	Unreliable
	"Nassau County, NY"	"36059"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	174	487110	35.7
	"New York County, NY"	"36061"	"Female"	"F"	"2017"	"2017"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	29	169158	17.1
	"New York County, NY"	"36061"	"Female"	"F"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	21	567698	3.7
	"New York County, NY"	"36061"	"Female"	"F"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	10	567698	Unreliable
	"New York County, NY"	"36061"	"Female"	"F"	"2018"	"2018"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	166200	14.4
	"New York County, NY"	"36061"	"Female"	"F"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	43	557061	7.7
	"New York County, NY"	"36061"	"Female"	"F"	"2019"	"2019"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	28	165335	16.9
	"New York County, NY"	"36061"	"Female"	"F"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	44	557464	7.9
	"New York County, NY"	"36061"	"Female"	"F"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	164481	18.2
	"New York County, NY"	"36061"	"Female"	"F"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	54	549907	9.8
	"New York County, NY"	"36061"	"Male"	"M"	"2017"	"2017"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	54	147694	36.6
	"New York County, NY"	"36061"	"Male"	"M"	"2017"	"2017"	"Black or African American"	"2054-5"	"All other drug-induced causes"	"D9"	10	147694	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	110	529872	20.8
	"New York County, NY"	"36061"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	14	529872	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"All other drug-induced causes"	"D9"	12	529872	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2018"	"2018"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	58	144559	40.1
	"New York County, NY"	"36061"	"Male"	"M"	"2018"	"2018"	"Black or African American"	"2054-5"	"All other drug-induced causes"	"D9"	13	144559	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	125	518828	24.1
	"New York County, NY"	"36061"	"Male"	"M"	"2019"	"2019"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	64	143368	44.6
	"New York County, NY"	"36061"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	156	519894	30.0
	"New York County, NY"	"36061"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	11	519894	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"All other drug-induced causes"	"D9"	10	519894	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	100	143111	69.9
	"New York County, NY"	"36061"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	186	510678	36.4
	"New York County, NY"	"36061"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	11	510678	Unreliable
	"New York County, NY"	"36061"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"All other drug-induced causes"	"D9"	11	510678	Unreliable
	"Niagara County, NY"	"36063"	"Female"	"F"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	96396	Unreliable
	"Niagara County, NY"	"36063"	"Female"	"F"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	96028	Unreliable
	"Niagara County, NY"	"36063"	"Female"	"F"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	95170	Unreliable
	"Niagara County, NY"	"36063"	"Female"	"F"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	94654	Unreliable
